name,prompt,negative_prompt
MonkeyNegative,,"(((person))), (((portrait))), EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans,extra fingers,fewer fingers,(ugly eyes, deformed iris, deformed pupils, fused lips and teeth:1.2), (un-detailed skin, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime:1.2), text, close up, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck", ((3d, cartoon, anime, sketches)), (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy, out of view, cut off, ugly, deformed, mutated, ((young)), ((blurry, out of focus))"

_____СТИЛИ_____
Zizka горы, by paul zizka,
Strobist Фотовспышка,strobist,
Marat Safin Фото, by marat safin,
John Wilhelm Фото, by John Wilhelm,
_____ОСНОВНЫЕ_____,,
ultra quality,ultra quality,
ultra detailed,ultra detailed,
intricate details,intricate details,
8k,8k,
hdr,hdr,
epic realistic,epic realistic,
Realistic gritty photo,realistic gritty photo,
award-winning,award-winning,
beautiful,beautiful,
biomorphic,biomorphic,
hypomorphic,hypomorphic,
anthropomorphic,anthropomorphic,
chromatic aberration,chromatic aberration,
eye strain,eye strain,
high contrast,high contrast,
cinematic,cinematic,
ultrarealistic,ultrarealistic,
realistic,realistic,
photorealistic,photorealistic,
RTX,RTX,
Octane,octane,
Unreal,unreal,
polygonal,polygonal,
3d,3d,
masterpiece,masterpiece,
Studio,studio,
_____ЦВЕТ_____,,
primary colors,primary colors,
vibrant color scheme,vibrant color scheme,
acid colors,acid colors,
Color splash style,color splash style,
_____ОПИСАНИЕ_____,,
elegant,elegant,
Chubby,chubby,
furry,furry,
glass,glass,
crystallized,crystallized,
dark,dark,
dystopian,dystopian,
metallic,metallic,
messy,messy,
microscopic,microscopic,
nebulous,nebulous,
overgrown,overgrown,
sci-fi,sci-fi,
_____ПЕРСПЕКТИВА_____,,
Close-up,close-up,
Extreme Close-up,extreme close-up,
Medium shot, medium shot,
Long shot, long shot,
Establishing, establishing,
Point-of-view, point-of-view,
Cowboy shot, cowboy shot,
Medium full shot, medium full shot,
Full shot, full shot,
upper body, upper body,
full body, full body,
Satellite imagery,Satellite imagery,
Drone,Drone,
From Above,From Above,
Overhead View,overhead View,
Panorama,panorama,
Isometric,isometric,
From Behind,from Behind,
From Below,from Below,
Landscape,landscape,
Portrait,portrait,
Mid body portrait,mid body portrait,
Macro,Macro,
_____ПЛАТФОРМЫ_____,,
Midjourney,Midjourney,
artstation,artstation,
cgsociety,cgsociety,
Flickr,Flickr,
Behance,Behance,
DeviantArt,DeviantArt,
Unsplash,Unsplash,
_____ЯРКИЙ СВЕТ_____,,
global illumination,global illumination,
highlighted,highlighted,
iridescence,iridescence,
polarized light,polarized light,
rim light,rim light,
volumetric lighting,volumetric lighting,
soft light,soft light,
studio light,studio light,
sun light,sun light,
dramatic light,dramatic light,
dynamic lighting,dynamic lighting,
ambient lighting,ambient lighting,
_____ТЕМНЫЙ СВЕТ_____,,
golden hour,golden hour,
lighting,lighting,
moody lighting,moody lighting,
night time,night time,
shadow,shadow,
dense light rays,dense light rays,
backlight,backlight,
beautifully lit,beautifully lit,
candle light,candle light,
cinematic light,cinematic light,
chiaroscuro,chiaroscuro,
dark shot,dark shot,
_____ИЗЛУЧЕНИЕ_____,,
bioluminiscent,bioluminiscent,
glowing,glowing,
glow in the dark,glow in the dark,
glowwave,glowwave,
holographic,holographic,
holography,holography,
luminous,luminous,
neon,neon,
neon pastel,neon pastel,
radiant,radiant,
sparkling,sparkling,
_____БЛЕСК_____,,
glistening,glistening,
refraction,refraction,
_____CAMERA_____,,
Gopro,Gopro,
iPhone,iPhone,
Leica R7,Leica R7,
Canon EOS 5D,Canon EOS 5D,
Kodak PIXPRO,Kodak PIXPRO,
Nikon D850,Nikon D850,
Sony a6600,Sony a6600,
Fujifilm,Fujifilm,
Polaroid style,Polaroid style,
CCTV,CCTV,
Long exposure style,long exposure style,
_____LENS_____
fisheye Lens,fisheye Lens,
macro,macro,
Bokeh,Bokeh,
nifty fifty,nifty fifty,
sharp focus,sharp focus,
Panoramic,Panoramic,
super wide angle,super wide angle,
tilt-shift,tilt-shift,
35mm,35mm,
70mm,70mm,
150mm,150mm,
_____FOTO-EFFECTS_____
lomo effect,lomo effect,
sepia,sepia,
Monochrome style,monochrome style,
optical art,optical art,
underwater photography,underwater photography,
x-ray photography,x-ray photography,
infrared,infrared,
high speed liquid photography,high speed liquid photography,
haze filter,haze filter,
double exposure,double exposure,
chromatic aberration,chromatic aberration,
autochrome,autochrome,
astrophotography,astrophotography,
_____НАПРАВЛЕНИЯ-1_____,,
Professional,Professional,
Photo,Photo,
RAW,RAW,
Digital Artwork,Digital Artwork,
3D Rendering,3D Rendering,
Painting,Painting,
Drawing,Drawing,
Vector Art,Vector Art,
illustration,illustration,
Technical illustration,Technical illustration,
_____НАПРАВЛЕНИЯ-2_____,,
Amigurumi,amigurumi,
50s Art,50s Art,
Abstract Art,Abstract Art,
Academism,Academism,
Action Painting,Action Painting,
Afrofuturism,Afrofuturism,
Art Deco,Art Deco,
Art Nouveau,Art Nouveau,
Art Photography,Art Photography,
Bauhaus Art,Bauhaus Art,
CGI Art,CGI Art,
Classical Realism,Classical Realism,
Computer Art,Computer Art,
Cutester Art,Cutester Art,
Cybergoth Art,Cybergoth Art,
Cyberpunk Art,Cyberpunk Art,
Dark Wave Art,Dark Wave Art,
Digital Art,Digital Art,
Emo Art,Emo Art,
Futurism,Futurism,
Graffiti Street Art,Graffiti Street Art,
Grunge Art,Grunge Art,
Hippie Art,Hippie Art,
Magical Realism,Magical Realism,
Minimalism Art,Minimalism Art,
New Wave Art,New Wave Art,
Panfuturism,Panfuturism,
Photorealism,Photorealism,
Pixel Art,Pixel Art,
Primitivism Art,Primitivism Art,
Psytrance Art,Psytrance Art,
Retrofuturism,Retrofuturism,
Seapunk Art,Seapunk Art,
Solarpunk Art,Solarpunk Art,
Steampunk Art,Steampunk Art,
Vaporwave Art,Vaporwave Art,
_____ЗАГОТОВКИ_____,,
Greg rutkowski and Magali Villeneuve,by greg rutkowski and magali Villeneuve,
Real Skin,"lightroom, natural skin textural, detail, hyperrealism",
Midjourney style,"(foggy background, epic realistic, rutkowski, hdr, intricate details, hyperdetailed, cinematic, rim light, muted colors:1.2)",
MonkeyPrompt,"best quality, ultra high res, (photorealistic:1.4),, high resolution, detailed, raw photo, sharp re, by lee jeffries nikon d850 film stock photograph 4 kodak portra 400 camera f1.6 lens rich colors hyper realistic lifelike texture dramatic lighting unrealengine trending on artstation cinestill 800,, photorealistic, photo, masterpiece, realistic, realism, photorealism, high contrast, photorealistic digital art trending on Artstation 8k HD high definition detailed realistic, detailed, skin texture, hyper detailed, realistic skin texture, armature, ((HD, clear, sharp, in focus))",
_____MODEL-LORA_____,,
-RealisticVision analog style,analog style,
-RealisticVision modelshoot style,modelshoot style,
-RealisticVision nsfw,nsfw,
-RealisticVision nudity,nudity,
-RealElApocalypse elden ring style,elden ring style,
-RealElApocalypse postapocalypse,postapocalypse,
-RealElApocalypse knollingcase,knollingcase,
-RealElApocalypse analog style,analog style,
-RealElApocalypse bf,bf,
-UnstInkDream nvinkpunk, nvinkpunk,
-UnstInkDream kuvshinov, kuvshinov,
-UnstInkDream dreamlikeart, dreamlikeart,
-UnstInkDream samdoesart, samdoesart,
-UnstInkDream analog style, analog style,
-UnstInkDream modelshoot style, modelshoot style,
-Cyborgdiffusion,Cyborgdiffusion,
-Dreamlikeart,dreamlikeart,
-Mdjrny-v4 style,mdjrny-v4 style,
-Protogen-x3.4 modelshoot style,modelshoot style,
-Protogen-x3.4 analog style,analog style,
-Protogen-x3.4 mdjrny-v4 style,mdjrny-v4 style,
-Protogen-x3.4 nousr robot,nousr robot,
_____LORAS_____,,
-AbstractDisco,in the style of t3xtn,
-Vivid Watercolors,wtrcolor style,
-Marblesh,marblesh,
_____STYLES_____,,
SmoothFace1,"Anime style photo, Manga style, Digital art, glow effects, Hand drawn, render, 8k, octane render, cinema 4d, blender, dark, atmospheric 4k ultra detailed, cinematic sensual, Sharp focus, humorous illustration, hyperrealistic, big depth of field, Masterpiece, colors, 3d octane render, 4k, concept art, trending on artstation, hyperrealistic, Vivid colors","logo, dog, Glasses, Watermark, bad artist, helmet, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers"
SmoothFace2,"Pencil drawing, Black and White, B&W, Low detail, sketch, concept art, Manga style, Anime style, line art, webtoon, manhua, chalk, hand drawn, defined lines, simple shades, simplistic, manga page, minimalistic","pencil, logo, Glasses, Watermark, bad artist, blur, blurry, text, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers"
Картина маслом,"modelshoot style, (extremely detailed CG unity 8k wallpaper), professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by Jeremy Mann, Greg Manchess, Antonio Moro, trending on ArtStation, trending on CGSociety, Intricate, High Detail, Sharp focus, dramatic, photorealistic painting art by midjourney and greg rutkowski","canvas frame, cartoon, 3d, ((disfigured)), ((bad art)), ((deformed)),((extra limbs)),((close up)),((b&w)), weird colors, blurry, (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
Sketch1,"Sketch, Manga Sketch, Pencil drawing, Black and White, Manga, Manga style, Low detail, Line art, vector art, Monochromatic, by katsuhiro otomo and masamune shirow and studio ghilibi and yukito kishiro","pencil, logo, Glasses, Watermark, bad artist, blur, blurry, text, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers"
aOil,"Anime style photo, Manga style, Digital art, glow effects, Hand drawn, render, 8k, octane render, cinema 4d, blender, dark, atmospheric 4k ultra detailed, cinematic sensual, Sharp focus, humorous illustration, hyperrealistic, big depth of field, Masterpiece, colors, 3d octane render, 4k, concept art, trending on artstation, hyperrealistic, Vivid colors, modelshoot style, (extremely detailed CG unity 8k wallpaper), professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by Jeremy Mann, Greg Manchess, Antonio Moro, trending on ArtStation, trending on CGSociety, Intricate, High Detail, Sharp focus, dramatic, photorealistic painting art by midjourney and greg rutkowski","logo, dog, Glasses, Watermark, bad artist, helmet, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, ((disfigured)), ((bad art)), ((deformed)),((extra limbs)),((close up)),((b&w)), weird colors, blurry, (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
dOil,"Digital art, glow effects, Hand drawn, render, 8k, octane render, cinema 4d, blender, dark, atmospheric 4k ultra detailed, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, colors, 3d octane render, 4k, concept art, trending on artstation, hyperrealistic, Vivid colors, modelshoot style, (extremely detailed CG unity 8k wallpaper), professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by Jeremy Mann, Greg Manchess, Antonio Moro, trending on ArtStation, trending on CGSociety, Intricate, High Detail, Sharp focus, dramatic, photorealistic painting art by midjourney and greg rutkowski","logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, bad art, bad anatomy, 3d render"
BWphoto,"Photorealistic, Hyperrealistic, Hyperdetailed, film noir, analog style, hip cocked, demure, low cut, black lace, detailed skin, pores, smirk, smiling eyes, matte skin, outdoor cafe, soft lighting, subsurface scattering, realistic, heavy shadow, b&w, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus","logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, blurry, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, blurry, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
Photo,"Photorealistic, Hyperrealistic, Hyperdetailed, analog style, hip cocked, demure, low cut, black lace, detailed skin, pores, smirk, smiling eyes, matte skin, outdoor cafe, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus","B&W, logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, blurry, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, blurry, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
TellTale,"Arcane Style, Borderlands style, Telltale Games style, Oil painting, Simple colors, low detail, Vivid colors, Defined lines, defined edges, Digital art, Cartoon look, Cartoon style, Sharp shadows, Dark","logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, blurry, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, blurry, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
Ghibli1,Studio ghibli style,"logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, blurry, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, blurry, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
Ghibli2,"RAW candid cinema, woman, studio, 16mm, ((color graded portra 400 film)) ((remarkable color)), (ultra realistic), textured skin, remarkable detailed pupils, ((realistic dull skin noise)), ((visible skin detail)), ((skin fuzz)), (dry skin) shot with cinematic camera","B&W, logo, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, bad art, bad anatomy, 3d render"
Cyberpunk1,"(Cyberpunk), futuristic, neon, urban, dystopian","medieval, natural, rural"
Fantasy1,"(Fantasy), magical, mythical, medieval, colorful","realistic, modern, sci-fi"
Horror1,"(Horror), dark, creepy, bloody, scary","bright, cute, happy"
Noir,"(Noir), black and white , detective , crime , mystery","colorful , fantasy , comedy"
Steampunk1,"(Steampunk), Victorian era , steam-powered machines , gears , goggles","futuristic , digital , sleek"
Anime1,"(Anime), big eyes , exaggerated expressions , stylized hair , manga","realistic , western ,minimalistic"
Surrealism,"(Surrealism), dreamlike , distorted , abstract , symbolic","realistic ,logical ,plain"
Pixel art,"(Pixel art) retro ,low resolution ,pixelated ,nostalgic","modern ,high resolution ,smooth"
Watercolor painting,"(Watercolor painting) soft colors ,fluid strokes ,transparent layers","sharp edges ,solid colors ,opaque layers"
Pop art,"(Pop art) bright colors ,comic style ,mass culture references","dull colors,realistic style, historical references"
Hyperrealistic,"realistic, detailed, textured, skin, hair, eyes, by Alex Huguet, Mike Hill, Ian Spriggs, JaeCheol Park, Marek Denko","abstract, cartoon, stylized"
Retro,"vintage, pixelated, scanlines, halftone, by Paul Robertson, Henk Nieborg, Valenberg, Octavi Navarro, Mark Ferrari","modern, smooth, realistic"
Abstract,"geometric shapes, vibrant colors, minimalistic, by Andy Gilmore, James White, Rafael Araujo, Jen Stark, Matt W. Moore","realistic, detailed, complex"
Fantasy2,"magic , dragons , elves , castles , by Donato Giancola , Ruan Jia , Kekai Kotaki , Magali Villeneuve , Even Mehl Amundsen","sci-fi , modernity"
Sci-fi,"futuristic technology , robots , spaceships , by Vitaly Bulgarov , Maciej Kuciara , Jama Jurabaev , Sparth , Karla Ortiz","fantasy , medieval , nature"
Horror2,"dark , creepy , blood , monsters , by Jason Engle , Carlos Huante , Charlie Bowater , Simon Lee , Brom","cute , colorful , happy"
Steampunk2,"steam-powered machines gears goggles , by Jakub Rozalski Ian McQue James Ng Loish Sergey Kolesov",cyberpunk organic sleek
Cyberpunk2,"neon lights , dystopian city , hackers , by Josan Gonzalez , Simon Stalenhag , Maciej Rebisz , Mike Winkelmann (Beeple) , Darek Zabrocki",steampunk natural rustic
Anime2,Manga big eyes expressive faces colorful hair Hayao Miyazaki Masashi Kishimoto Makoto Shinkai CLAMP Yoshiyuki Sadamoto,realistic proportions muted colors
Comic book,Graphic novel bold lines dynamic poses speech bubbles Frank Miller Alex Ross Jim Lee Fiona Staples Mike Mignola,painterly style static scenes
Macro-Photo,"close-up , detailed , magnified , by David Maitland , Thomas Shahan , Nicky Bay , Levon Biss , Erez Marom","distant , blurry , small"
Dramatic-Photo,"contrasty , vibrant , intense , by Jimmy Nelson , Steve McCurry , Annie Leibovitz , Sebasti?o Salgado , Peter Lindbergh","flat , dull , soft"
Matte-Photo,"faded , vintage , nostalgic , by Jose Villa , Elizabeth Messina , Ryan Brenizer , Jonas Peterson , Jasmine Star","sharp , modern , bright"
Natural and soft-Photo,"smooth , warm , cozy , by Chris Burkard , Alex Strohl , Elia Locardi , Benjamin Hardman , Lauren Bath","harsh , cold , edgy"
Pet-Photo,"cute , furry , expressive , by Seth Casteel , Carli Davidson , Rachael Hale McKenna, Kaylee Greer, Sophie Gamand","scary, ugly, boring"
Minimalist-Photo,"simple, clean, elegant, by Michael Kenna, Hiroshi Sugimoto, Fan Ho, Harry Callahan, Saul Leiter","cluttered, messy, chaotic"
HDR (High Dynamic Range)-Photo,"realistic, detailed, balanced, by Trey Ratcliff, Klaus Herrmann, Serge Ramelli, Jimmy McIntyre, Elia Locardi","unrealistic, flat, dull"
Photojournalism-Photo,"documentary , candid , storytelling , by Henri Cartier-Bresson , Sebasti?o Salgado , Steve McCurry , Robert Capa , James Nachtwey","staged , posed , fictional"
Portrait-Photo,"expressive , personal , creative , by Annie Leibovitz , Cindy Sherman , Richard Avedon , Yousuf Karsh , Vivian Maier","bland, impersonal, generic"
Landscape-Photo,"scenic , natural , majestic , by Ansel Adams , Galen Rowell , David Muench, Frans Lanting, Peter Lik","urban, artificial, dull"
Wildlife-Photo,"adventurous , wild , captivating , by David Yarrow, Nick Brandt, Art Wolfe, Paul Nicklen, Joel Sartore","domesticated, tame, boring"
Street-Photo,"spontaneous , urban , cultural , by Vivian Maier, Fan Ho, Garry Winogrand, Elliott Erwitt, Martin Parr","planned, rural, monotonous"
Abstract-Photo,"artistic , creative , experimental , by Man Ray , Aaron Siskind , Franco Fontana , Edward Weston , Wolfgang Tillmans","realistic , conventional , literal"
Fashion-Photo,"glamorous , stylish , trendy , by Richard Avedon , Helmut Newton , Mario Testino , Annie Leibovitz , Steven Meisel","plain, outdated, boring"
Macro-Photo,"close-up , detailed , magnified , by Robert Mapplethorpe, Olegas Truchanas, Karl Blossfeldt, Thomas Shahan, David Liittschwager","distant, blurry, small"
Architecture-Photo,"geometric , structural , aesthetic , by Julius Shulman, Andreas Gursky, Iwan Baan, Berenice Abbott, Hiroshi Sugimoto","organic, chaotic, ugly"
Sports-Photo,"dynamic , action-packed , thrilling , by Neil Leifer, Walter Iooss Jr., Bob Martin, Eadweard Muybridge, Robert Capa","static, dull, boring"
Universal_neg,,"bad-hands-5, bad-image-v2-39000, bad_prompt, bad_prompt_version2, bad_quality, EasyNegative"
